Wastewater Surveillance Data
Date generated: Fri Feb 28 2025 10:01:32 GMT-0500 (Eastern Standard Time)
Jurisdiction,Sewershed ID,Reporting Jurisdiction,County,Population Served,Current virus levels in wastewater by site (in %),Percent change in the last 15 days ,Percent of wastewater samples with detectable virus 
New Hampshire,2093,New Hampshire,Sullivan,6500,N/A,N/A,N/A
New Hampshire,2084,New Hampshire,Coos,10000,N/A,N/A,N/A
New Hampshire,2091,New Hampshire,Hillsborough,26632,N/A,N/A,N/A
New Hampshire,2496,New Hampshire,Belknap; Oxford; Cumberland; Carroll,6500,45.8,-80,100
New Hampshire,2519,New Hampshire,Sullivan,6000,80,-53,100
New Hampshire,2085,New Hampshire,Strafford,32000,N/A,N/A,N/A
New Hampshire,2087,New Hampshire,Rockingham,20000,N/A,N/A,N/A
New Hampshire,1880,New Hampshire,Strafford,30000,48,-11,100
New Jersey,1453,New Jersey,Monmouth,47000,51.6,334,100
New Jersey,2351,New Jersey,Burlington,19980,67.6,-89,100
New Jersey,2352,New Jersey,Cumberland,30000,43.75,-99,100
New Jersey,2373,New Jersey,Hunterdon,9440,76,-95,100
New Jersey,2400,New Jersey,Salem,5500,49.67,N/A,100
New Jersey,784,New Jersey,Somerset; Middlesex; Union,880000,71,-43,100
New Jersey,2222,New Jersey,Monmouth,100000,74.43,10,100
New Jersey,2619,New Jersey,Somerset,130000,64.43,-4,100
New Jersey,1322,New Jersey,Union; Essex,1300000,72.4,1095,100
New Jersey,1385,New Jersey,Hudson,145000,53,22,100
New Jersey,1605,New Jersey,Bergen,564563,71.8,-23,100
New Jersey,2107,New Jersey,Cumberland,30000,69.2,-64,100
New Jersey,2349,New Jersey,Atlantic,12000,62.4,-89,100
New Jersey,2350,New Jersey,Morris,24530,38.8,272,100
New Jersey,2355,New Jersey,Union,204148,60.4,16,100
New Jersey,2377,New Jersey,Monmouth,47357,44,2,100
New Jersey,1907,New Jersey,Monmouth,52672,57.14,28,100
New Jersey,2378,New Jersey,Sussex,7751,57.2,-100,100
New Jersey,2865,New Jersey,Camden,525000,56.8,10,100
New Jersey,788,New Jersey,Hudson; Essex; Passaic; Bergen,1500000,73.6,600,100
New Jersey,2107,New Jersey,Cumberland,50000,49.29,-25,100
New Jersey,1291,New Jersey,Passaic,54000,58.6,-64,100
New Jersey,2353,New Jersey,Morris,90000,37.75,39,100
New Jersey,2354,New Jersey,Somerset,7000,50.4,-64,100
New Jersey,2423,New Jersey,Atlantic,250000,54,22,100
New Jersey,2209,New Jersey,Monmouth,50000,49.86,9,100
New Jersey,788,New Jersey,Essex; Bergen; Hudson; Union; Passaic,1500000,49.33,4,100
New Mexico,1362,New Mexico,Luna,14000,41,1306,75
New Mexico,2492,New Mexico,Santa Fe,87000,30.6,275,100
New Mexico,1360,New Mexico,Chaves,50000,72,168,100
New Mexico,2683,New Mexico,Bernalillo,650000,14,-73,100
New Mexico,2391,New Mexico,Sandoval,101750,12,66,100
New Mexico,2394,New Mexico,Dona Ana,8127,36,-89,100
New Mexico,2649,New Mexico,Dona Ana,89719,76.2,288,100
New York,1007,New York,Genesee,4191,47,2147483647,50
New York,1013,New York,Erie,71131,49,-57,100
New York,1022,New York,Schenectady,78444,N/A,N/A,N/A
New York,1044,New York,Suffolk,24147,43,302771,100
New York,1045,New York,Essex,6264,4.75,73,0
New York,1068,New York,Tompkins,56967,9.8,14,0
New York,1099,New York,Wyoming,3448,27.5,N/A,0
New York,1171,New York,Schoharie,5326,N/A,N/A,N/A
New York,1405,New York,Rockland,4115,19.67,N/A,0
New York,1486,New York,Westchester,40301,13,1795745,50
New York,1504,New York,Sullivan,6639,54,N/A,100
New York,1557,New York,Orange,6563,4.5,N/A,0
New York,1821,New York,Dutchess,14525,37,N/A,0
New York,1931,New York,Albany,21281,N/A,N/A,N/A
New York,1937,New York,Livingston,5361,19,N/A,0
New York,2025,New York,Niagara,38971,53.5,-62,100
New York,2102,New York,Ontario,16507,2,0,0
New York,2177,New York,Chemung,18085,4,-13,0
New York,2179,New York,Erie,24461,52.4,-49,100
New York,2200,New York,Jefferson,23485,15,-19,0
New York,2272,New York,Saint Lawrence,12114,N/A,N/A,N/A
New York,2281,New York,Chautauqua,3365,36,-56,0
New York,2287,New York,Oneida,3210,N/A,N/A,N/A
New York,515,New York,Madison,4843,16.67,-33,0
New York,522,New York,Orange,27434,19.6,-14,0
New York,580,New York,Monroe,43074,20.75,-5,0
New York,694,New York,Franklin,7175,4.33,15,0
New York,721,New York,Rensselaer,79699,N/A,N/A,N/A
New York,723,New York,Seneca,6961,18.67,-21,0
New York,869,New York,Warren,23462,N/A,N/A,N/A
New York,996,New York,Erie,142478,79.8,56,100
New York,998,New York,Erie,431141,65,109,100
New York,2601,New York,Oswego,30000,42.29,-17,100
New York,1009,New York,Niagara,48196,37.67,22,100
New York,1150,New York,Suffolk,7741,34.5,-63,100
New York,1404,New York,Rockland,10890,3,N/A,0
New York,1460,New York,Orange,28914,12,N/A,0
New York,1484,New York,Westchester,94095,23,24,0
New York,1488,New York,Westchester,31046,7.33,-16,0
New York,1844,New York,Saint Lawrence,22552,23.5,-17,0
New York,1852,New York,Saint Lawrence,14475,11.4,-43,0
New York,1855,New York,Albany,31023,N/A,N/A,N/A
New York,2007,New York,Wayne,5145,45,N/A,0
New York,2050,New York,Nassau,5824,64.33,N/A,100
New York,2080,New York,Nassau,27494,65.2,-94,100
New York,2176,New York,Chemung,38037,2.67,-7,0
New York,2181,New York,Monroe,487322,14.2,-34,0
New York,2182,New York,Orange,6369,14.2,-14,0
New York,2189,New York,Ulster,10577,30.5,N/A,0
New York,2194,New York,Saratoga,152482,N/A,N/A,N/A
New York,2197,New York,Essex,3263,11,2,0
New York,2201,New York,Oswego,14199,29,-10,0
New York,2264,New York,Nassau,8288,58.8,-71,100
New York,2268,New York,Onondaga,3272,1,0,0
New York,2280,New York,Seneca,6160,19.33,-40,0
New York,300,New York,Otsego,19383,5.5,N/A,0
New York,426,New York,Orange,6729,2,N/A,0
New York,477,New York,Essex,3076,2.67,N/A,0
New York,483,New York,Delaware,3581,10,-14,0
New York,513,New York,Onondaga,30613,21,N/A,0
New York,524,New York,Orange,36227,11.5,380,0
New York,529,New York,Orange,8568,3,-21,0
New York,531,New York,Jefferson,4077,31.5,27,0
New York,532,New York,Onondaga,25965,12.5,N/A,0
New York,776,New York,Ulster,26599,12.6,-13,0
New York,986,New York,Washington,12260,N/A,N/A,N/A
New York,997,New York,Genesee,16459,10.75,227384,25
New York,2608,New York,Tompkins,90000,58,11,100
New York,1000,New York,Erie,17983,64.2,880,100
New York,1006,New York,Chautauqua,32501,1,0,0
New York,1011,New York,Cattaraugus,17760,0,0,0
New York,1012,New York,Erie,83961,43.2,57,100
New York,1097,New York,Dutchess,38207,27.8,1175,25
New York,1151,New York,Oneida,27849,N/A,N/A,N/A
New York,1401,New York,Rockland,36527,13.25,1,0
New York,1483,New York,Westchester,26651,25,N/A,0
New York,1489,New York,Westchester,523765,17,0,0
New York,1936,New York,Clinton,5532,15.67,-5,0
New York,1939,New York,Suffolk,28183,57,N/A,100
New York,2004,New York,Oswego,12117,27.67,-40,0
New York,2172,New York,Albany,109426,N/A,N/A,N/A
New York,2173,New York,Albany,80922,N/A,N/A,N/A
New York,2174,New York,Onondaga,16168,32,N/A,0
New York,2175,New York,Tompkins,9770,20.67,71791,50
New York,2191,New York,Orange,42921,16.6,-98,25
New York,2192,New York,Oswego,8849,52.67,4,0
New York,2193,New York,Dutchess,21516,27.33,0,0
New York,2198,New York,Madison,3317,7,-5,0
New York,2285,New York,Chautauqua,9379,41.67,11291,50
New York,512,New York,Cayuga,31814,32.2,1538,25
New York,516,New York,Madison,4908,11,N/A,0
New York,517,New York,Livingston,4730,20,-23,0
New York,518,New York,Steuben,5162,25.2,16639,0
New York,520,New York,Onondaga,39352,33.67,N/A,0
New York,527,New York,Madison,9207,13,-22,0
New York,52,New York,Steuben,5941,35,136,0
New York,692,New York,Saint Lawrence,10794,9.4,-4,0
New York,717,New York,Montgomery,19679,N/A,N/A,N/A
New York,1008,New York,Orleans,6191,31.5,221265525,50
New York,1010,New York,Monroe,155096,22.2,-4,0
New York,1021,New York,Nassau,20616,56.25,1726,100
New York,1041,New York,Suffolk,278775,64.25,-93,100
New York,1043,New York,Suffolk,3349,N/A,N/A,N/A
New York,1078,New York,Wayne,8931,13,N/A,0
New York,1098,New York,Sullivan,4925,20,N/A,0
New York,1149,New York,Tioga,3750,30.5,N/A,0
New York,1153,New York,Livingston,15688,47,-100,0
New York,1213,New York,Ontario,17936,42.5,106,0
New York,1306,New York,Nassau,524955,45.75,458,67
New York,1402,New York,Clinton,20893,10.2,0,0
New York,1403,New York,Rockland,12676,16.33,47,0
New York,1485,New York,Westchester,78683,8.8,28,0
New York,1487,New York,Westchester,44876,3.75,7,0
New York,1800,New York,Dutchess,13856,18.5,N/A,0
New York,1853,New York,Suffolk,7499,42,-93,100
New York,1854,New York,Suffolk,5789,25,N/A,0
New York,1917,New York,Saint Lawrence,4705,50.2,-99,25
New York,1938,New York,Suffolk,6280,64,N/A,100
New York,2112,New York,Livingston,3288,25,-32,0
New York,2178,New York,Erie,6908,44.5,37424842,75
New York,2180,New York,Broome,38726,0,0,0
New York,2187,New York,Lewis,3953,N/A,N/A,N/A
New York,2190,New York,Niagara,5632,93.33,N/A,100
New York,2195,New York,Ulster,3793,27.33,25,0
New York,2212,New York,Orange,5672,16.33,458,0
New York,2213,New York,Oneida,6076,N/A,N/A,N/A
New York,2219,New York,Oneida,3990,35.5,N/A,0
New York,2273,New York,Monroe,6400,52,84027678,0
New York,479,New York,Chenango,6734,7.33,-11,0
New York,521,New York,Onondaga,242377,0,N/A,0
New York,525,New York,Onondaga,50727,45.67,N/A,0
New York,567,New York,Fulton,23379,10.5,N/A,0
New York,690,New York,Cortland,26950,14.25,-3,0
New York,691,New York,Herkimer,13924,N/A,N/A,N/A
New York,718,New York,Schuyler,3656,4.67,N/A,0
New York,719,New York,Nassau,24041,44,-65,100
New York,738,New York,Putnam,4480,1,N/A,0
New York,740,New York,Oneida,55215,10.8,N/A,0
New York,836,New York,Nassau,611349,59.2,1006,67
New York,837,New York,Rockland,53437,31.17,-20,0
New York,838,New York,Rockland,207430,9,14,0
New York,974,New York,Yates,5339,N/A,N/A,N/A
New York,994,New York,Orleans,6278,24,187347556,50
New York,999,New York,Chautauqua,12616,46,-45,0
New York City,2763,New York City,Kings,825096,N/A,N/A,N/A
New York City,2766,New York City,Queens,131254,N/A,N/A,N/A
New York City,2756,New York City,Queens,824156,N/A,N/A,N/A
New York City,2757,New York City,Kings,710768,N/A,N/A,N/A
New York City,2758,New York City,Bronx,769120,N/A,N/A,N/A
New York City,2761,New York City,New York,655795,N/A,N/A,N/A
New York City,2762,New York City,Richmond,266371,N/A,N/A,N/A
New York City,2764,New York City,Richmond,210680,N/A,N/A,N/A
New York City,2767,New York City,Queens,444823,N/A,N/A,N/A
New York City,2755,New York City,Kings,295778,N/A,N/A,N/A
New York City,2759,New York City,Queens,798883,N/A,N/A,N/A
New York City,2760,New York City,Kings,1197476,N/A,N/A,N/A
New York City,2765,New York City,Kings,251164,N/A,N/A,N/A
New York City,2768,New York City,New York,1197129,N/A,N/A,N/A
North Carolina,1031,North Carolina,Onslow,41819,61,-75,100
North Carolina,144,North Carolina,Cumberland,151589,47.5,2080,100
North Carolina,166,North Carolina,Guilford,135821,54.5,-60,100
North Carolina,271,North Carolina,Buncombe; Henderson,173000,58.2,-65,100
North Carolina,303,North Carolina,Orange; Durham,78141,42,-81,100
North Carolina,334,North Carolina,Wake,30655,54.8,-34,100
North Carolina,369,North Carolina,Orange; Durham,108105,67.4,150,100
North Carolina,450,North Carolina,New Hanover,58361,53.4,-94,100
North Carolina,452,North Carolina,Forsyth,178000,72.4,181,100
North Carolina,85,North Carolina,Wake,74331,65,-69,100
North Carolina,92,North Carolina,Mecklenburg,68685,89,N/A,100
North Carolina,94,North Carolina,Mecklenburg,120000,N/A,N/A,N/A
North Carolina,2596,North Carolina,Duplin; Pender,10000,49,101,100
North Carolina,1223,North Carolina,Rowan,21000,63.8,-97,100
North Carolina,2589,North Carolina,Lenoir,20484,32.4,-36,100
North Carolina,1611,North Carolina,Forsyth; Randolph; Davidson; Guilford,116390,75.2,502,100
North Carolina,2033,North Carolina,Henderson,43633,59,-17,100
North Carolina,216,North Carolina,Scotland,15527,88.6,-43,100
North Carolina,345,North Carolina,Northampton; Halifax,14320,81.75,699,100
North Carolina,405,North Carolina,Jackson,13296,60.6,160,100
North Carolina,53,North Carolina,Carteret,3500,49,-99,100
North Carolina,84,North Carolina,Wake,84189,68.8,-88,100
North Carolina,93,North Carolina,Mecklenburg,182501,77.5,N/A,100
North Carolina,1662,North Carolina,Forsyth,92000,58.86,-9,100
North Carolina,2605,North Carolina,Wilson,50000,58.5,6,100
North Carolina,2565,North Carolina,Watauga,26000,52,-58,100
North Carolina,2641,North Carolina,Swain; Jackson,10000,18,457,33
North Carolina,332,North Carolina,Wake,550000,33.2,111,100
North Carolina,335,North Carolina,Wake,7776,62.4,-16,100
North Carolina,451,North Carolina,New Hanover,67743,57.2,44,100
North Carolina,1220,North Carolina,Rowan,32000,53.6,287,100
North Carolina,111,North Carolina,Wilson,49384,41,-23,100
North Carolina,1521,North Carolina,Mecklenburg,82158,88.6,-52,100
North Carolina,1523,North Carolina,Durham,142000,69.6,162,100
North Carolina,167,North Carolina,Pitt,89616,49.4,-100,100
North Carolina,237,North Carolina,Mcdowell,8459,59.4,-98,100
North Carolina,86,North Carolina,Wake,75886,73.4,-62,100
North Carolina,1894,North Carolina,Lenoir,25000,32.33,33,83
Ohio,112,Ohio,Wayne,27000,71.4,-85,100
Ohio,140,Ohio,Lorain,54500,86.4,326,100
Ohio,157,Ohio,Sandusky,25000,58.6,59,100
Ohio,186,Ohio,Lawrence,10445,66.67,-58,100
Ohio,205,Ohio,Hardin,8500,25.67,9,0
Ohio,2473,Ohio,Knox,7000,42.8,287,100
Ohio,263,Ohio,Knox,18000,66.2,-64,100
Ohio,274,Ohio,Henry,8749,68.2,-73,100
Ohio,291,Ohio,Huron,17000,64.8,4,100
Ohio,304,Ohio,Butler,22000,76.4,117,100
Ohio,411,Ohio,Wyandot,6700,58.2,-94,67
Ohio,442,Ohio,Montgomery,79000,59.8,-47,100
Ohio,1891,Ohio,Mahoning,174000,64.29,12,100
Ohio,127,Ohio,Montgomery,226729,68.4,-79,100
Ohio,1805,Ohio,Huron,3276,46.8,-59,0
Ohio,1957,Ohio,Lake,20000,51,-50,100
Ohio,214,Ohio,Fairfield,24303,55.25,34,100
Ohio,233,Ohio,Richland,52000,61.4,254,100
Ohio,235,Ohio,Washington,15284,25.4,-100,33
Ohio,273,Ohio,Hamilton,76000,80.8,37,100
Ohio,309,Ohio,Licking,7150,62.6,111,100
Ohio,326,Ohio,Scioto,20366,62.2,-86,75
Ohio,36,Ohio,Summit,363897,52,-43,100
Ohio,395,Ohio,Hamilton,34000,69.4,121,100
Ohio,398,Ohio,Lucas,322446,49.2,-84,67
Ohio,403,Ohio,Montgomery,65000,60.4,-74,100
Ohio,54,Ohio,Greene,46160,24.25,-98,33
Ohio,79,Ohio,Stark,85000,35.4,540,100
Ohio,859,Ohio,Mercer,4800,70.2,-30,100
Ohio,101,Ohio,Preble,8400,72.67,N/A,100
Ohio,108,Ohio,Erie,55000,69.5,226,100
Ohio,121,Ohio,Ashtabula,12000,38.6,483,33
Ohio,124,Ohio,Coshocton,12000,69.2,210,100
Ohio,131,Ohio,Tuscarawas,13572,52.8,-59,100
Ohio,141,Ohio,Belmont,13169,51.2,635,100
Ohio,147,Ohio,Hancock,41273,57.4,-3,100
Ohio,168,Ohio,Darke,13000,67.8,-25,100
Ohio,187,Ohio,Franklin,645940,56.6,-21,100
Ohio,219,Ohio,Allen,61000,69.2,751,100
Ohio,221,Ohio,Hamilton,143000,39,9,100
Ohio,222,Ohio,Medina,86586,60.4,27,100
Ohio,225,Ohio,Lorain,72000,61.2,995,100
Ohio,241,Ohio,Union,24677,59.6,5,100
Ohio,255,Ohio,Hamilton,488000,56.2,606,100
Ohio,276,Ohio,Cuyahoga,313158,51,4303,67
Ohio,278,Ohio,Cuyahoga,103379,68.4,10479,67
Ohio,282,Ohio,Licking,45000,73.6,67,100
Ohio,311,Ohio,Wood,37725,45,223,100
Ohio,428,Ohio,Fayette,14000,59.75,2759,100
Ohio,43,Ohio,Fulton,6000,60.6,-89,100
Ohio,455,Ohio,Mahoning,65469,34.8,-94,33
Ohio,456,Ohio,Muskingum,47500,38,8030,50
Ohio,48,Ohio,Athens,24536,42.75,-28,50
Ohio,67,Ohio,Wood,32000,58,106,100
Ohio,73,Ohio,Williams,8655,73.8,1,100
Ohio,975,Ohio,Greene,4100,56.2,-74,100
Ohio,98,Ohio,Pickaway,13965,62,-42,100
Ohio,102,Ohio,Marion,36000,46.6,-36,100
Ohio,129,Ohio,Defiance,19900,54.8,38,100
Ohio,134,Ohio,Montgomery,36150,52,-38,100
Ohio,1608,Ohio,Hocking,8500,66.4,-12,100
Ohio,170,Ohio,Butler,65000,64.6,775,100
Ohio,204,Ohio,Portage,29000,56.6,-32,100
Ohio,228,Ohio,Lucas,110000,52.8,-2,100
Ohio,277,Ohio,Cuyahoga,524154,60,16245,67
Ohio,322,Ohio,Ottawa,7000,25.8,N/A,0
Ohio,374,Ohio,Franklin,654817,57.8,61,100
Ohio,382,Ohio,Clark,60000,46.4,-73,100
Ohio,388,Ohio,Jefferson,17864,56.6,N/A,0
Ohio,422,Ohio,Trumbull,54037,48.2,3205,67
Ohio,46,Ohio,Ashtabula,31430,40.6,-76,67
Ohio,74,Ohio,Crawford,12362,38.2,367,33
Ohio,82,Ohio,Carroll,3500,55.8,1431,50
Ohio,1810,Ohio,Portage; Summit,365000,62.29,-8,100
Oklahoma,2566,Oklahoma,Pontotoc,16738,33.25,N/A,100
Oklahoma,2568,Oklahoma,Washington,36495,36.8,6691353,50
Oklahoma,2572,Oklahoma,Bryan,18589,47.67,-94,100
Oklahoma,2583,Oklahoma,Payne,48134,53.75,N/A,100
Oklahoma,2574,Oklahoma,Tulsa,112025,N/A,N/A,N/A
Oklahoma,2576,Oklahoma,Muskogee,36790,34.6,264126,50
Oklahoma,2586,Oklahoma,Canadian,24623,87,N/A,100
Oklahoma,2567,Oklahoma,Caddo,6623,95,N/A,100
Oklahoma,2577,Oklahoma,Cleveland,122837,65.5,N/A,100
Oklahoma,2578,Oklahoma,Oklahoma,442168,N/A,N/A,N/A
Oklahoma,2579,Oklahoma,Tulsa,181670,N/A,N/A,N/A
Oklahoma,2580,Oklahoma,Seminole,7488,74,-100,100
Oklahoma,2585,Oklahoma,Woodward,11998,69.33,N/A,100
Oklahoma,2512,Oklahoma,Garfield,50350,58.2,39,100
Oklahoma,2571,Oklahoma,Oklahoma,107331,34,N/A,100
Oklahoma,2573,Oklahoma,Garfield,49583,73.33,N/A,100
Oklahoma,2575,Oklahoma,Oklahoma,57288,37.75,37099,100
Oklahoma,2582,Oklahoma,Tulsa,147101,N/A,N/A,N/A
Oklahoma,2584,Oklahoma,Cherokee,16463,48,-97,100
Oregon,934,Oregon,Benton,58856,29.33,-99,100
Oregon,936,Oregon,Lane,8925,25.67,-100,100
Oregon,942,Oregon,Washington,220000,40,6,100
Oregon,943,Oregon,Washington,40000,18,37,100
Oregon,945,Oregon,Multnomah,662235,37.67,N/A,100
Oregon,955,Oregon,Yamhill,34615,N/A,N/A,N/A
Oregon,959,Oregon,Umatilla,17500,40.67,N/A,100
Oregon,961,Oregon,Marion,229000,68.33,-100,100
Oregon,2639,Oregon,Multnomah,45600,45.33,N/A,100
Oregon,2802,Oregon,Clackamas,26298,41.67,194,100
Oregon,932,Oregon,Deschutes,92850,16,41,100
Oregon,935,Oregon,Polk,16555,40.67,-42,100
Oregon,949,Oregon,Washington,40000,10.33,-70,100
Oregon,950,Oregon,Josephine,37725,75,N/A,100
Oregon,951,Oregon,Umatilla,18775,28.67,N/A,100
Oregon,953,Oregon,Klamath,20840,20.67,-97,100
Oregon,956,Oregon,Jackson,133708,50.33,N/A,100
Oregon,965,Oregon,Marion,10520,71.67,N/A,100
Oregon,967,Oregon,Marion,10840,27,2339,100
Oregon,971,Oregon,Lane,235155,31.5,634,100
Oregon,929,Oregon,Linn,57785,43.67,-87,100
Oregon,930,Oregon,Clatsop,11326,49.33,N/A,100
Oregon,944,Oregon,Washington,9900,30,-35,100
Oregon,957,Oregon,Coos,9975,54.33,81,100
Oregon,958,Oregon,Malheur,12000,34.5,-34,100
Oregon,966,Oregon,Columbia,13739,79.75,-16,100
Oregon,2801,Oregon,Tillamook,27748,49,-99,100
Oregon,469,Oregon,Jackson,21105,59,-98,100
Oregon,933,Oregon,Clackamas,14206,52.33,-44,100
Oregon,937,Oregon,Lincoln,8865,24.67,-87,100
Oregon,939,Oregon,Lincoln,10400,63,288,100
Oregon,941,Oregon,Marion,26273,67.33,-84,100
Oregon,948,Oregon,Wasco,15276,N/A,N/A,N/A
Oregon,952,Oregon,Hood River,7800,55,N/A,100
Pennsylvania,1366,Pennsylvania,Dauphin,125000,51.8,-79,100
Pennsylvania,1366,Pennsylvania,Dauphin,125000,N/A,N/A,N/A
Pennsylvania,1455,Pennsylvania,Delaware,6800,80.8,-21,100
Pennsylvania,1533,Pennsylvania,Centre,90000,53.86,1186,100
Pennsylvania,1553,Pennsylvania,Mckean,14194,N/A,N/A,N/A
Pennsylvania,1554,Pennsylvania,Mercer,16000,52.4,-95,75
Pennsylvania,2216,ph,Philadelphia,1004057,N/A,N/A,N/A
Pennsylvania,2364,Pennsylvania,Allegheny,7000,N/A,N/A,N/A
Pennsylvania,2365,Pennsylvania,Allegheny,48000,N/A,N/A,N/A
Pennsylvania,2367,Pennsylvania,Allegheny,5191,N/A,N/A,N/A
Pennsylvania,2368,Pennsylvania,Allegheny,43482,N/A,N/A,N/A
Pennsylvania,1667,Pennsylvania,Dauphin,125000,57.86,18,100
Pennsylvania,1083,Pennsylvania,Montgomery,13000,67.2,-51,100
Pennsylvania,2494,Pennsylvania,Butler,45000,38.8,-10,100
Pennsylvania,1368,Pennsylvania,Westmoreland; Armstrong,34200,47.2,780,100
Pennsylvania,1376,Pennsylvania,Westmoreland,4600,43,160,50
Pennsylvania,1390,Pennsylvania,Monroe,25000,53,-100,75
Pennsylvania,1553,Pennsylvania,Mckean,14194,42.6,465,100
Pennsylvania,1777,Pennsylvania,Monroe,4000,72.2,-14,100
Pennsylvania,2307,Pennsylvania,Montgomery,35000,N/A,N/A,N/A
Pennsylvania,2308,Pennsylvania,Montgomery,8900,N/A,N/A,N/A
Pennsylvania,2329,Pennsylvania,Montgomery,35000,N/A,N/A,N/A
Pennsylvania,2362,Pennsylvania,Allegheny,900000,N/A,N/A,N/A
Pennsylvania,2788,Pennsylvania,Montgomery,25000,N/A,N/A,N/A
Pennsylvania,2929,Pennsylvania,Jefferson,8255,N/A,N/A,N/A
Pennsylvania,1737,Pennsylvania,Delaware,220000,37.86,-11,100
Pennsylvania,2830,Pennsylvania,Bucks; Northampton,55000,48.4,-84,100
Pennsylvania,1357,Pennsylvania,Montgomery,30000,45.8,363,100
Pennsylvania,1376,Pennsylvania,Westmoreland,4600,N/A,N/A,N/A
Pennsylvania,1390,Pennsylvania,Monroe,25000,N/A,N/A,N/A
Pennsylvania,1529,Pennsylvania,Indiana,28809,42.2,4,100
Pennsylvania,1776,Pennsylvania,Trumbull; Mercer,19000,37.8,108,100
Pennsylvania,1776,Pennsylvania,Trumbull; Mercer,19000,N/A,N/A,N/A
Pennsylvania,1787,Pennsylvania,Chester,10500,46.2,-78,100
Pennsylvania,1787,Pennsylvania,Chester,10500,N/A,N/A,N/A
Pennsylvania,2217,ph,Philadelphia,291524,N/A,N/A,N/A
Pennsylvania,2218,ph,Philadelphia,517309,72.2,-98,N/A
Pennsylvania,2363,Pennsylvania,Montgomery,16000,N/A,N/A,N/A
Pennsylvania,2667,Pennsylvania,Montgomery,13000,82.4,-38,100
Pennsylvania,1358,Pennsylvania,Cumberland,25000,62.2,-53,100
Pennsylvania,1359,Pennsylvania,Erie,200000,78.4,35,100
Pennsylvania,1367,Pennsylvania,Franklin,67000,80.4,21,100
Pennsylvania,1370,Pennsylvania,Lehigh,200000,75.2,-52,100
Pennsylvania,1375,Pennsylvania,York,85000,57.6,-65,100
Pennsylvania,1375,Pennsylvania,York,85000,N/A,N/A,N/A
Pennsylvania,1775,Pennsylvania,Lackawanna,15700,43.8,-5,100
Pennsylvania,1809,Pennsylvania,Chester,13500,74.6,-88,100
Rhode Island,2854,Rhode Island,Bristol,11500,27.6,-94,100
Rhode Island,2826,Rhode Island,Washington,5000,65.6,551,100
Rhode Island,2785,Rhode Island,Newport,41600,41.4,-10,100
Rhode Island,464,Rhode Island,Providence,240000,53.5,-7,100
Rhode Island,2856,Rhode Island,Bristol,21100,61.8,-41,100
Rhode Island,2839,Rhode Island,Worcester; Providence; Norfolk,43000,32.2,122,100
Rhode Island,2891,Rhode Island,Kent,30000,48.4,-77,100
Rhode Island,1134,Rhode Island,Kent,60224,58.6,-17,100
Rhode Island,2786,Rhode Island,Washington,16500,58.4,-4,100
Rhode Island,76,Rhode Island,Providence,9700,43.4,23,100
Rhode Island,548,Rhode Island,Providence,120000,56.2,-11,100
South Carolina,2742,South Carolina,Lancaster,10000,67.8,7841,100
South Carolina,2821,South Carolina,Marion,10000,65.75,-93,100
South Carolina,2939,South Carolina,Hampton,5000,42.4,-57,100
South Carolina,877,South Carolina,Kershaw,8825,57.2,-27,100
South Carolina,883,South Carolina,York,88000,79.75,52,100
South Carolina,885,South Carolina,Georgetown,30000,73,-52,100
South Carolina,909,South Carolina,Horry,195000,77.33,-85,100
South Carolina,2676,South Carolina,Greenwood,12000,71.67,197,100
South Carolina,1871,South Carolina,Beaufort,20000,66.5,174,100
South Carolina,2818,South Carolina,Horry,20000,46.6,-27,100
South Carolina,2820,South Carolina,Marion,14000,71.25,-93,100
South Carolina,2822,South Carolina,Dorchester; Berkeley; Charleston,140000,62.8,-69,100
South Carolina,908,South Carolina,Richland,60000,47.4,-73,50
South Carolina,2677,South Carolina,Greenwood,48000,66.5,-83,100
South Carolina,2782,South Carolina,Richland; Lexington,11399,63.25,300,100
South Carolina,2836,South Carolina,Jasper,10000,33,-79,50
South Carolina,2872,South Carolina,Horry,30000,64.2,-70,100
South Carolina,2634,South Carolina,Georgetown,12000,69,-26,100
South Carolina,2819,South Carolina,Columbus; Horry,3200,73.2,-52,100
South Carolina,2823,South Carolina,Horry,38000,65.2,-2,100
South Carolina,2835,South Carolina,Marlboro,6427,73.4,-2,100
South Carolina,906,South Carolina,Lexington,40000,50,286,100
South Dakota,2606,South Dakota,Yankton,20000,36.14,-23,100
South Dakota,2630,South Dakota,Beadle,14000,87.4,-60,100
Tennessee,2288,Tennessee,Walker; Dade; Catoosa; Hamilton,400000,71.5,11,100
Tennessee,2612,Tennessee,Shelby,300000,75.57,-19,100
Texas,2850,Texas,Dallas,131391,52.8,-27,100
Texas,2661,Texas,Webb,30000,38.6,231,100
Texas,1140,Texas,Travis,539116,35.6,34,100
Texas,1934,Texas,Mclennan,203344,45.2,715,100
Texas,2374,Texas,Andrews,13502,51.6,9273,100
Texas,2807,Texas,Jefferson,112193,57.67,2147483647,100
Texas,2811,Texas,Hardin,34000,25.6,-98,75
Texas,2814,Texas,Nueces,158298,18.4,376,100
Texas,2817,Texas,Tarrant,1000000,30.8,45,100
Texas,35,Houston,Harris,551150,100,N/A,100
Texas,40,Houston,Harris,117968,83.33,55,100
Texas,2325,Texas,Dallas,270000,56.29,-8,100
Texas,2663,Texas,Webb,120000,28.6,320,100
